request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Requested 15656000 on 2025-08-03; 90-day forecast keeps a minimum balance of 24768300. Amount safe to pay today before any spending changes: 15656000. The full amount is safe to pay today.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Requested 6670 on 2026-07-05; 90-day forecast keeps a minimum balance of 20500. Amount safe to pay today before any spending changes: 6670. The full amount is safe to pay today.
request_28,689.4,not_affordable,not_recommended,none,,none,Requested 1302.4 on 2024-06-07; 90-day forecast keeps a minimum balance of 1100. Amount safe to pay today before any spending changes: 689.4. No accepted payment method stays safe within the 90-day forecast.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Requested 51524 on 2025-11-04; 90-day forecast keeps a minimum balance of 28300. Amount safe to pay today before any spending changes: 51524. The full amount is safe to pay today.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Requested 775.2 on 2026-04-06; 90-day forecast keeps a minimum balance of 900. Amount safe to pay today before any spending changes: 775.2. A supplied installment option stays within the safe balance throughout its schedule.
request_31,13840360,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Requested 18164000 on 2024-09-03; 90-day forecast keeps a minimum balance of 16588900. Amount safe to pay today before any spending changes: 13840360. Full payment is not safe until 2024-09-15.
request_32,33305.8,not_affordable,not_recommended,none,,none,Requested 40018 on 2025-02-05; 90-day forecast keeps a minimum balance of 35700. Amount safe to pay today before any spending changes: 33305.8. No accepted payment method stays safe within the 90-day forecast.
request_33,65180,not_affordable,not_recommended,none,,none,Requested 118000 on 2026-01-07; 90-day forecast keeps a minimum balance of 102100. Amount safe to pay today before any spending changes: 65180. No accepted payment method stays safe within the 90-day forecast.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Requested 129400 on 2024-12-04; 90-day forecast keeps a minimum balance of 138500. Amount safe to pay today before any spending changes: 129400. The full amount is safe to pay today.
request_35,125130,not_affordable,not_recommended,none,,none,Requested 212000 on 2025-10-30; 90-day forecast keeps a minimum balance of 106400. Amount safe to pay today before any spending changes: 125130. No accepted payment method stays safe within the 90-day forecast.
request_36,1446.6,not_affordable,not_recommended,none,,none,Requested 3954 on 2026-07-03; 90-day forecast keeps a minimum balance of 2400. Amount safe to pay today before any spending changes: 1446.6. No accepted payment method stays safe within the 90-day forecast.
request_37,12068800,not_affordable,not_recommended,none,,none,Requested 14649000 on 2024-03-05; 90-day forecast keeps a minimum balance of 17056200. Amount safe to pay today before any spending changes: 12068800. No accepted payment method stays safe within the 90-day forecast.
request_38,379.4,not_affordable,not_recommended,none,,none,Requested 971.3 on 2025-08-07; 90-day forecast keeps a minimum balance of 400. Amount safe to pay today before any spending changes: 379.4. No accepted payment method stays safe within the 90-day forecast.
request_39,203105,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Requested 208600 on 2026-04-04; 90-day forecast keeps a minimum balance of 213400. Amount safe to pay today before any spending changes: 203105. Full payment is not safe until 2026-04-15.
request_40,851,not_affordable,not_recommended,none,,none,Requested 1290.3 on 2024-06-06; 90-day forecast keeps a minimum balance of 1500. Amount safe to pay today before any spending changes: 851. No accepted payment method stays safe within the 90-day forecast.
request_41,21888950,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Requested 38760000 on 2025-11-03; 90-day forecast keeps a minimum balance of 25366600. Amount safe to pay today before any spending changes: 21888950. Full payment is not safe until 2025-11-15.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Requested 52100 on 2026-01-05; 90-day forecast keeps a minimum balance of 113100. Amount safe to pay today before any spending changes: 52100. The full amount is safe to pay today.
request_43,13988750,not_affordable,not_recommended,none,,none,Requested 43339000 on 2024-09-07; 90-day forecast keeps a minimum balance of 21398000. Amount safe to pay today before any spending changes: 13988750. No accepted payment method stays safe within the 90-day forecast.
request_44,74560,not_affordable,not_recommended,none,,none,Requested 95800 on 2025-02-04; 90-day forecast keeps a minimum balance of 82900. Amount safe to pay today before any spending changes: 74560. No accepted payment method stays safe within the 90-day forecast.
request_45,8833100,not_affordable,not_recommended,none,,none,Requested 21983000 on 2026-07-06; 90-day forecast keeps a minimum balance of 11149800. Amount safe to pay today before any spending changes: 8833100. No accepted payment method stays safe within the 90-day forecast.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Requested 49450 on 2024-12-03; 90-day forecast keeps a minimum balance of 84000. Amount safe to pay today before any spending changes: 49450. A supplied installment option stays within the safe balance throughout its schedule.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Requested 38114000 on 2025-05-05; 90-day forecast keeps a minimum balance of 30049000. Amount safe to pay today before any spending changes: 38114000. The full amount is safe to pay today.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Requested 45700 on 2026-07-25; 90-day forecast keeps a minimum balance of 71300. Amount safe to pay today before any spending changes: 45700. The full amount is safe to pay today.
request_49,20228793.34,not_affordable,not_recommended,none,,none,Requested 34333000 on 2024-03-04; 90-day forecast keeps a minimum balance of 20275700. Amount safe to pay today before any spending changes: 20228793.34. No accepted payment method stays safe within the 90-day forecast.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Requested 43900 on 2025-08-06; 90-day forecast keeps a minimum balance of 99700. Amount safe to pay today before any spending changes: 43900. The full amount is safe to pay today.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Requested 2191000 on 2026-01-03; 90-day forecast keeps a minimum balance of 7811000. Amount safe to pay today before any spending changes: 2191000. The full amount is safe to pay today.
request_52,28870,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,Requested 28870 on 2024-06-05; 90-day forecast keeps a minimum balance of 41500. Amount safe to pay today before any spending changes: 28870. The full amount is safe to pay today.
request_53,1423.42,not_affordable,not_recommended,none,,none,Requested 1699.2 on 2025-11-07; 90-day forecast keeps a minimum balance of 2100. Amount safe to pay today before any spending changes: 1423.42. No accepted payment method stays safe within the 90-day forecast.
request_54,16581.4,not_affordable,not_recommended,none,,none,Requested 121528 on 2026-07-04; 90-day forecast keeps a minimum balance of 37000. Amount safe to pay today before any spending changes: 16581.4. No accepted payment method stays safe within the 90-day forecast.
request_55,176241.19,not_affordable,not_recommended,none,,none,Requested 218600 on 2026-06-08; 90-day forecast keeps a minimum balance of 124300. Amount safe to pay today before any spending changes: 176241.19. No accepted payment method stays safe within the 90-day forecast.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,Requested 881.56 on 2025-02-03; 90-day forecast keeps a minimum balance of 2100. Amount safe to pay today before any spending changes: 881.56. A supplied installment option stays within the safe balance throughout its schedule.
request_57,21214.6,not_affordable,not_recommended,none,,none,Requested 61446 on 2026-04-05; 90-day forecast keeps a minimum balance of 42700. Amount safe to pay today before any spending changes: 21214.6. No accepted payment method stays safe within the 90-day forecast.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Requested 16226000 on 2024-12-07; 90-day forecast keeps a minimum balance of 14433900. Amount safe to pay today before any spending changes: 16226000. The full amount is safe to pay today.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Requested 140600 on 2025-05-04; 90-day forecast keeps a minimum balance of 132600. Amount safe to pay today before any spending changes: 140600. A supplied installment option stays within the safe balance throughout its schedule.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Requested 199.89 on 2026-01-06; 90-day forecast keeps a minimum balance of 400. Amount safe to pay today before any spending changes: 199.89. The full amount is safe to pay today.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Requested 29062 on 2024-03-03; 90-day forecast keeps a minimum balance of 36700. Amount safe to pay today before any spending changes: 29062. A supplied installment option stays within the safe balance throughout its schedule.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Requested 404.23 on 2025-08-05; 90-day forecast keeps a minimum balance of 1300. Amount safe to pay today before any spending changes: 404.23. The full amount is safe to pay today.
request_63,90145,not_affordable,not_recommended,none,,none,Requested 343900 on 2026-07-07; 90-day forecast keeps a minimum balance of 153500. Amount safe to pay today before any spending changes: 90145. No accepted payment method stays safe within the 90-day forecast.
request_64,60233.01,not_affordable,not_recommended,none,,none,Requested 63700 on 2024-06-04; 90-day forecast keeps a minimum balance of 36100. Amount safe to pay today before any spending changes: 60233.01. No accepted payment method stays safe within the 90-day forecast.
request_65,13024,not_affordable,not_recommended,none,,none,Requested 54340 on 2025-11-06; 90-day forecast keeps a minimum balance of 15500. Amount safe to pay today before any spending changes: 13024. No accepted payment method stays safe within the 90-day forecast.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Requested 22200 on 2026-04-03; 90-day forecast keeps a minimum balance of 80700. Amount safe to pay today before any spending changes: 22200. The full amount is safe to pay today.
request_67,792.54,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Requested 2094 on 2024-09-05; 90-day forecast keeps a minimum balance of 1200. Amount safe to pay today before any spending changes: 792.54. Full payment is not safe until 2024-09-15.
request_68,2091.6,not_affordable,not_recommended,none,2025-02-07,none,Requested 2091.6 on 2025-02-07; 90-day forecast keeps a minimum balance of 1500. Amount safe to pay today before any spending changes: 2091.6. No accepted payment method stays safe within the 90-day forecast.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Requested 529.1 on 2026-01-04; 90-day forecast keeps a minimum balance of 700. Amount safe to pay today before any spending changes: 529.1. The full amount is safe to pay today.
